Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
Total Misc, Total Misc,  ,  , 3487, 346.55
HLT_Ele32_WPTight_Gsf_v27, HLT_Ele32_WPTight_Gsf_v,  ,  , 2553, 253.73, 448, 44.52
HLT_Ele30_WPTight_Gsf_v13, HLT_Ele30_WPTight_Gsf_v,  ,  , 2432, 241.7, 331, 32.9
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v31, HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v,  ,  , 494, 49.1, 329, 32.7
HLT_Ele115_CaloIdVT_GsfTrkIdT_v27, HLT_Ele115_CaloIdVT_GsfTrkIdT_v,  ,  , 242, 24.05, 89, 8.85
HLT_DoubleEle33_CaloIdL_MW_v30, HLT_DoubleEle33_CaloIdL_MW_v,  ,  , 153, 15.21, 61, 6.06
HLT_Ele135_CaloIdVT_GsfTrkIdT_v20, HLT_Ele135_CaloIdVT_GsfTrkIdT_v,  ,  , 128, 12.72, 0, 0.0
