Path (w/ version number), Path,  Groups,  Type,  Total Count,  Total Rate (Hz),  Pure Count,  Pure Rate (Hz)
Total Misc, Total Misc,  ,  , 6105, 616.29
HLT_Ele32_WPTight_Gsf_v27, HLT_Ele32_WPTight_Gsf_v,  ,  , 4592, 463.56, 1686, 170.2
HLT_Ele30_WPTight_Gsf_v13, HLT_Ele30_WPTight_Gsf_v,  ,  , 3316, 334.75, 446, 45.02
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v31, HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v,  ,  , 1013, 102.26, 781, 78.84
HLT_Ele115_CaloIdVT_GsfTrkIdT_v27, HLT_Ele115_CaloIdVT_GsfTrkIdT_v,  ,  , 271, 27.36, 104, 10.5
HLT_DoubleEle33_CaloIdL_MW_v30, HLT_DoubleEle33_CaloIdL_MW_v,  ,  , 154, 15.55, 50, 5.05
HLT_Ele135_CaloIdVT_GsfTrkIdT_v20, HLT_Ele135_CaloIdVT_GsfTrkIdT_v,  ,  , 136, 13.73, 0, 0.0
