Type                                  Module                      Label             Process   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "DetaSeed"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Dphi"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "MissingHits"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "NLayerIT"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "OneOESeedMinusOneOP"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "OneOESuperMinusOneOP"   "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "ValidHits"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi1"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi1"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi1BestS2"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi1BestS2"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi1Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi1Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi2"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi2"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi2BestS2"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi2BestS2"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi2Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi2Info"       "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVars"   "dPhi3"           "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaPixelMatchVarsUnseeded"   "dPhi3"           "MYHLT"   
